23, longmont,  nikodemus,  services,       inventory,      lnmt2cuomipam1,      br0,   52:54:00:9B:68:17,   192.168.1.146,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
24, longmont,  nikodemus,  documentation,  jira,           lnmt2cuomjira,       br0,   52:54:00:9B:68:18,   192.168.1.147,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
25, longmont,  nikodemus,  cicd,           jenkins,        lnmt2cuomjkns1,      br0,   52:54:00:9B:68:19,   192.168.1.148,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
26, longmont,  nikodemus,  cicd,           jenkins,        lnmt2cuomjkns2,      br0,   52:54:00:9B:68:1A,   192.168.1.149,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  2048,  2
27, longmont,  nikodemus,  cicd,           jenkins,        lnmt2cuomjkns3,      br0,   52:54:00:9B:68:1B,   192.168.1.150,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  2048,  2
28, longmont,  nikodemus,  management,     provision,      lnmt2cuomjs1,        br0,   52:54:00:9B:68:1C,   192.168.1.151,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
29, longmont,  nikodemus,  patching,       katello,        lnmt2cuomkat1,       br0,   52:54:00:9B:68:1D,   192.168.1.152,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
30, longmont,  nikodemus,  kubernetes,     worker,         lnmt2cuomknode1,     br0,   52:54:00:9B:68:1E,   192.168.1.153,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
31, longmont,  nikodemus,  kubernetes,     worker,         lnmt2cuomknode2,     br0,   52:54:00:9B:68:1F,   192.168.1.154,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
32, longmont,  nikodemus,  kubernetes,     worker,         lnmt2cuomknode3,     br0,   52:54:00:9B:68:20,   192.168.1.155,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
33, longmont,  nikodemus,  kubernetes,     master,         lnmt2cuomkube1,      br0,   52:54:00:9B:68:21,   192.168.1.156,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
34, longmont,  nikodemus,  kubernetes,     master,         lnmt2cuomkube2,      br0,   52:54:00:9B:68:22,   192.168.1.157,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
35, longmont,  nikodemus,  kubernetes,     master,         lnmt2cuomkube3,      br0,   52:54:00:9B:68:23,   192.168.1.158,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
36, longmont,  nikodemus,  services,       mail,           lnmt2cuommail1,      br0,   52:54:00:9B:68:24,   192.168.1.159,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
37, longmont,  nikodemus,  database,       mongodb,        lnmt2cuommdb1,       br0,   52:54:00:9B:68:25,   192.168.1.160,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
38, longmont,  nikodemus,  monitoring,     nagios,         lnmt2cuomnagios1,    br0,   52:54:00:9B:68:26,   192.168.1.161,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
39, longmont,  nikodemus,  monitoring,     nagios,         lnmt2cuomnagios2,    br0,   52:54:00:9B:68:27,   192.168.1.162,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
40, longmont,  nikodemus,  monitoring,     nagios,         lnmt2cuomnagios3,    br0,   52:54:00:9B:68:28,   192.168.1.163,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
41, longmont,  nikodemus,  monitoring,     nagios,         lnmt2cuomnagios4,    br0,   52:54:00:9B:68:29,   192.168.1.164,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
42, longmont,  nikodemus,  monitoring,     nagios,         lnmt2cuomnagios5,    br0,   52:54:00:9B:68:2A,   192.168.1.165,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
43, longmont,  nikodemus,  monitoring,     nagios,         lnmt2cuomnagios6,    br0,   52:54:00:9B:68:2B,   192.168.1.166,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
44, longmont,  nikodemus,  services,       inventory,      lnmt2cuomnetbox1,    br0,   52:54:00:9B:68:2C,   192.168.1.167,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
45, longmont,  nikodemus,  database,       postgres,       lnmt2cuompgrs1,      br0,   52:54:00:9B:68:2D,   192.168.1.168,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
46, longmont,  nikodemus,  services,       configuration,  lnmt2cuomsalt1,      br0,   52:54:00:9B:68:2E,   192.168.1.169,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
